CRITICAL - 2026-06-12 16:23:44,370 - 36 C
CRITICAL - 2026-06-12 16:24:44,370 - 20 C
CRITICAL - 2026-06-12 16:25:44,370 - 37 C
CRITICAL - 2026-06-12 16:25:58,602 - 26 C
CRITICAL - 2026-06-12 16:26:34,244 - 36 C
CRITICAL - 2026-06-12 16:27:34,244 - 22 C
CRITICAL - 2026-06-12 16:28:34,244 - 22 C
WARNING - 2026-06-12 16:28:42,983 - 34 C
WARNING - 2026-06-12 16:29:42,984 - 32 C
WARNING - 2026-06-12 16:30:42,984 - 34 C
CRITICAL - 2026-06-12 16:31:01,619 - 36 C
DEBUG - 2026-06-12 16:32:01,619 - 21 C
CRITICAL - 2026-06-12 16:33:01,620 - 39 C
CRITICAL - 2026-06-12 16:34:01,620 - 36 C
